,Unnamed: 0,name,url,party,state,district,chamber,congress_numbers,start,end,last_name,state_abbreviation,rep_id,last_name_state
0,0,"Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Democratic,Hawaii,1,House,"[102, 103, 104, 105, 106, 107, 108, 109, 110, 111]",1991,2011.0,Abercrombie,HI,A000014,Abercrombie (HI)
1,1,"Abraham, Ralph Lee",https://www.congress.gov/member/ralph-abraham/A000374,Republican,Louisiana,5,House,"[114, 115, 116]",2015,inf,Abraham,LA,A000374,Abraham (LA)
2,2,"Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,Democratic,New York,5,House,"[103, 104, 105, 106, 107, 108, 109, 110, 111, 112]",1993,2013.0,Ackerman,NY,A000022,Ackerman (NY)
3,3,"Adams, Alma S.",https://www.congress.gov/member/alma-adams/A000370,Democratic,North Carolina,12,House,"[113, 114, 115, 116]",2014,inf,Adams,NC,A000370,Adams (NC)
4,4,"Adams, Sandy",https://www.congress.gov/member/sandy-adams/A000366,Republican,Florida,24,House,[112],2011,2013.0,Adams,FL,A000366,Adams (FL)
5,5,"Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Republican,Alabama,4,House,"[105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]",1997,inf,Aderholt,AL,A000055,Aderholt (AL)
6,6,"Adler, John H.",https://www.congress.gov/member/john-adler/A000364,Democratic,New Jersey,3,House,[111],2009,2011.0,Adler,NJ,A000364,Adler (NJ)
7,7,"Aguilar, Pete",https://www.congress.gov/member/pete-aguilar/A000371,Democratic,California,31,House,"[114, 115, 116]",2015,inf,Aguilar,CA,A000371,Aguilar (CA)
8,8,"Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Democratic,Hawaii,2,House,"[95, 96, 97, 98, 99, 100, 101]",1977,1991.0,Akaka,HI,A000069,Akaka (HI)
9,9,"Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Republican,Missouri,2,House,"[107, 108, 109, 110, 111, 112]",2001,2013.0,Akin,MO,A000358,Akin (MO)
10,10,"Allard, Wayne",https://www.congress.gov/member/a-allard/A000109,Republican,Colorado,4,House,"[102, 103, 104]",1991,1997.0,Allard,CO,A000109,Allard (CO)
11,11,"Allen, Rick W.",https://www.congress.gov/member/rick-allen/A000372,Republican,Georgia,12,House,"[114, 115, 116]",2015,inf,Allen,GA,A000372,Allen (GA)
12,12,"Allen, Thomas H.",https://www.congress.gov/member/thomas-allen/A000357,Democratic,Maine,1,House,"[105, 106, 107, 108, 109, 110]",1997,2009.0,Allen,ME,A000357,Allen (ME)
13,13,"Allred, Colin Z.",https://www.congress.gov/member/colin-allred/A000376,Democratic,Texas,32,House,[116],2019,inf,Allred,TX,A000376,Allred (TX)
14,14,"Altmire, Jason",https://www.congress.gov/member/jason-altmire/A000362,Democratic,Pennsylvania,4,House,"[110, 111, 112]",2007,2013.0,Altmire,PA,A000362,Altmire (PA)
15,15,"Amodei, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,Republican,Nevada,2,House,"[112, 113, 114, 115, 116]",2011,inf,Amodei,NV,A000369,Amodei (NV)
16,16,"Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,Democratic,New Jersey,1,House,"[101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113]",1989,2014.0,Andrews,NJ,A000210,Andrews (NJ)
17,17,"Arcuri, Michael A.",https://www.congress.gov/member/michael-arcuri/A000363,Democratic,New York,24,House,"[110, 111]",2007,2011.0,Arcuri,NY,A000363,Arcuri (NY)
18,18,"Armstrong, Kelly",https://www.congress.gov/member/kelly-armstrong/A000377,Republican,North Dakota,At Large,House,[116],2019,inf,Armstrong,ND,A000377,Armstrong (ND)
19,19,"Arrington, Jodey C.",https://www.congress.gov/member/jodey-arrington/A000375,Republican,Texas,19,House,"[115, 116]",2017,inf,Arrington,TX,A000375,Arrington (TX)
20,20,"Ashford, Brad",https://www.congress.gov/member/brad-ashford/A000373,Democratic,Nebraska,2,House,[114],2015,2017.0,Ashford,NE,A000373,Ashford (NE)
21,21,"Austria, Steve",https://www.congress.gov/member/steve-austria/A000365,Republican,Ohio,7,House,"[111, 112]",2009,2013.0,Austria,OH,A000365,Austria (OH)
22,22,"Axne, Cynthia",https://www.congress.gov/member/cynthia-axne/A000378,Democratic,Iowa,3,House,[116],2019,inf,Axne,IA,A000378,Axne (IA)
23,23,"Babin, Brian",https://www.congress.gov/member/brian-babin/B001291,Republican,Texas,36,House,"[114, 115, 116]",2015,inf,Babin,TX,B001291,Babin (TX)
24,24,"Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,Democratic,California,43,House,"[108, 109, 110, 111, 112]",2003,2013.0,Baca,CA,B001234,Baca (CA)
25,25,"Bachmann, Michele",https://www.congress.gov/member/michele-bachmann/B001256,Republican,Minnesota,6,House,"[110, 111, 112, 113]",2007,2015.0,Bachmann,MN,B001256,Bachmann (MN)
26,26,"Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Republican,Alabama,6,House,"[103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113]",1993,2015.0,Bachus,AL,B000013,Bachus (AL)
27,27,"Bacon, Don",https://www.congress.gov/member/don-bacon/B001298,Republican,Nebraska,2,House,"[115, 116]",2017,inf,Bacon,NE,B001298,Bacon (NE)
28,28,"Baird, Brian",https://www.congress.gov/member/brian-baird/B001229,Democratic,Washington,3,House,"[106, 107, 108, 109, 110, 111]",1999,2011.0,Baird,WA,B001229,Baird (WA)
29,29,"Baird, James R.",https://www.congress.gov/member/james-baird/B001307,Republican,Indiana,4,House,[116],2019,inf,Baird,IN,B001307,Baird (IN)
30,30,"Baker, Richard H.",https://www.congress.gov/member/richard-baker/B000072,Republican,Louisiana,6,House,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]",1987,2008.0,Baker,LA,B000072,Baker (LA)
31,31,"Balderson, Troy",https://www.congress.gov/member/troy-balderson/B001306,Republican,Ohio,12,House,"[115, 116]",2018,inf,Balderson,OH,B001306,Balderson (OH)
32,32,"Baldwin, Tammy",https://www.congress.gov/member/tammy-baldwin/B001230,Democratic,Wisconsin,2,House,"[106, 107, 108, 109, 110, 111, 112]",1999,2013.0,Baldwin,WI,B001230,Baldwin (WI)
33,33,"Banks, Jim",https://www.congress.gov/member/jim-banks/B001299,Republican,Indiana,3,House,"[115, 116]",2017,inf,Banks,IN,B001299,Banks (IN)
34,34,"Barber, Ron",https://www.congress.gov/member/ron-barber/B001279,Democratic,Arizona,2,House,[113],2013,2015.0,Barber,AZ,B001279,Barber (AZ)
35,35,"Barletta, Lou",https://www.congress.gov/member/lou-barletta/B001269,Republican,Pennsylvania,11,House,"[112, 113, 114, 115]",2011,2019.0,Barletta,PA,B001269,Barletta (PA)
36,36,"Barr, Andy",https://www.congress.gov/member/andy-barr/B001282,Republican,Kentucky,6,House,"[113, 114, 115, 116]",2013,inf,Barr,KY,B001282,Barr (KY)
37,37,"Barragan, Nanette Diaz",https://www.congress.gov/member/nanette-barragan/B001300,Democratic,California,44,House,"[115, 116]",2017,inf,Barragan,CA,B001300,Barragan (CA)
38,38,"Barrett, J. Gresham",https://www.congress.gov/member/j-barrett/B001239,Republican,South Carolina,3,House,"[108, 109, 110, 111]",2003,2011.0,Barrett,SC,B001239,Barrett (SC)
39,39,"Barrow, John",https://www.congress.gov/member/john-barrow/B001252,Democratic,Georgia,12,House,"[109, 110, 111, 112, 113]",2005,2015.0,Barrow,GA,B001252,Barrow (GA)
40,40,"Bartlett, Roscoe G.",https://www.congress.gov/member/roscoe-bartlett/B000208,Republican,Maryland,6,House,"[103, 104, 105, 106, 107, 108, 109, 110, 111, 112]",1993,2013.0,Bartlett,MD,B000208,Bartlett (MD)
41,41,"Barton, Joe",https://www.congress.gov/member/joe-barton/B000213,Republican,Texas,6,House,"[99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115]",1985,2019.0,Barton,TX,B000213,Barton (TX)
